No,캐릭터명,명랑도_점수,명랑도_확신도,외향성_점수,외향성_확신도,자기확신_점수,자기확신_확신도,기행성_점수,기행성_확신도,장난기_점수,장난기_확신도,노력성_점수,노력성_확신도,천재성_점수,천재성_확신도,역경성_점수,역경성_확신도,이성성_점수,이성성_확신도,충동성_점수,충동성_확신도,배려성_점수,배려성_확신도,독립성_점수,독립성_확신도,완벽주의_점수,완벽주의_확신도,승부집착_점수,승부집착_확신도,책임감_점수,책임감_확신도,평균확신도,저확신수,저확신항목,공식프로필URL,NamuWiki문서후보URL
28,히시 아케보노,4,0.85,4,0.85,3,0.85,1,0.72,3,0.72,2,0.62,2,0.62,1,0.72,1,0.62,3,0.62,4,0.9,1,0.62,2,0.62,1,0.85,2,0.62,0.72,0,,https://umamusume.jp/character/hishiakebono,https://namu.wiki/w/히시 아케보노(우마무스메 프리티 더비)
29,유키노 비진,4,0.85,3,0.72,3,0.72,1,0.72,2,0.52,3,0.78,2,0.62,2,0.52,2,0.62,2,0.62,3,0.8,2,0.62,2,0.62,3,0.62,2,0.62,0.6647,2,"장난기, 역경성",https://umamusume.jp/character/yukinobijin,https://namu.wiki/w/유키노 비진(우마무스메 프리티 더비)
30,라이스 샤워,1,0.72,1,0.72,0,0.88,1,0.72,1,0.88,2,0.62,2,0.62,4,0.88,3,0.62,1,0.62,3,0.8,1,0.85,2,0.62,2,0.62,2,0.62,0.7193,0,,https://umamusume.jp/character/riceshower,https://namu.wiki/w/라이스 샤워(우마무스메 프리티 더비)
31,아이네스 후진,4,0.85,4,0.85,3,0.72,1,0.72,2,0.52,3,0.78,2,0.62,4,0.85,2,0.62,2,0.62,4,0.9,1,0.62,2,0.62,3,0.62,4,0.9,0.7207,1,장난기,https://umamusume.jp/character/inesfujin,https://namu.wiki/w/아이네스 후진(우마무스메 프리티 더비)
32,아그네스 타키온,3,0.72,2,0.52,3,0.85,4,0.88,4,0.85,2,0.62,3,0.78,1,0.72,4,0.9,4,0.62,1,0.62,2,0.62,2,0.62,2,0.62,1,0.62,0.704,1,외향성,https://umamusume.jp/character/agnestachyon,https://namu.wiki/w/아그네스 타키온(우마무스메 프리티 더비)
33,어드마이어 베가,0,0.88,0,0.88,2,0.52,1,0.72,0,0.88,2,0.62,2,0.62,4,0.88,4,0.62,0,0.62,2,0.62,4,0.9,3,0.62,3,0.62,4,0.62,0.708,1,자기확신,https://umamusume.jp/character/admirevega,https://namu.wiki/w/어드마이어 베가(우마무스메 프리티 더비)
34,이나리 원,4,0.85,4,0.85,3,0.85,2,0.52,3,0.72,2,0.62,2,0.62,2,0.52,1,0.62,3,0.88,2,0.88,1,0.62,1,0.88,3,0.88,2,0.62,0.7287,2,"기행성, 역경성",https://umamusume.jp/character/inarione,https://namu.wiki/w/이나리 원(우마무스메 프리티 더비)
35,위닝 티켓,4,0.88,4,0.88,3,0.85,2,0.52,3,0.72,3,0.78,2,0.62,2,0.52,0,0.9,3,0.62,2,0.62,1,0.62,2,0.62,3,0.8,2,0.62,0.7047,2,"기행성, 역경성",https://umamusume.jp/character/winningticket,https://namu.wiki/w/위닝 티켓(우마무스메 프리티 더비)
36,에어 샤커,1,0.72,1,0.88,3,0.85,3,0.72,1,0.72,2,0.62,2,0.62,3,0.72,4,0.9,1,0.62,2,0.62,3,0.8,3,0.8,3,0.62,2,0.62,0.722,0,,https://umamusume.jp/character/airshakur,https://namu.wiki/w/에어 샤커(우마무스메 프리티 더비)
37,에이신 플래시,2,0.52,2,0.52,3,0.85,1,0.88,0,0.88,3,0.78,2,0.62,2,0.52,4,0.9,0,0.9,2,0.62,2,0.62,4,0.9,3,0.62,3,0.62,0.7167,3,"명랑도, 외향성, 역경성",https://umamusume.jp/character/eishinflash,https://namu.wiki/w/에이신 플래시(우마무스메 프리티 더비)
38,카렌짱,4,0.85,4,0.85,4,0.88,3,0.72,4,0.85,2,0.62,3,0.78,1,0.88,0,0.62,4,0.62,2,0.85,1,0.62,3,0.62,3,0.62,0,0.62,0.7333,0,,https://umamusume.jp/character/currenchan,https://namu.wiki/w/카렌짱(우마무스메 프리티 더비)
39,카와카미 프린세스,4,0.88,4,0.85,3,0.85,3,0.72,4,0.85,2,0.62,2,0.62,2,0.52,0,0.9,4,0.88,2,0.88,2,0.88,1,0.88,2,0.62,1,0.62,0.7713,1,역경성,https://umamusume.jp/character/kawakamiprincess,https://namu.wiki/w/카와카미 프린세스(우마무스메 프리티 더비)
40,골드 시티,2,0.52,3,0.72,3,0.72,2,0.52,2,0.52,3,0.78,2,0.62,3,0.72,2,0.62,2,0.62,2,0.62,3,0.8,3,0.62,3,0.62,3,0.62,0.6427,3,"명랑도, 기행성, 장난기",https://umamusume.jp/character/goldcity,https://namu.wiki/w/골드 시티(우마무스메 프리티 더비)
41,사쿠라 바쿠신 오,4,0.88,4,0.88,3,0.85,4,0.85,4,0.85,3,0.78,2,0.62,1,0.72,0,0.62,4,0.62,2,0.62,1,0.62,2,0.62,3,0.8,2,0.62,0.73,0,,https://umamusume.jp/character/sakurabakushino,https://namu.wiki/w/사쿠라 바쿠신 오(우마무스메 프리티 더비)
42,시킹 더 펄,4,0.85,4,0.88,4,0.85,4,0.85,4,0.85,2,0.62,3,0.78,2,0.72,1,0.88,4,0.88,3,0.62,3,0.88,1,0.88,2,0.62,1,0.62,0.7853,0,,https://umamusume.jp/character/seekingthepearl,https://namu.wiki/w/시킹 더 펄(우마무스메 프리티 더비)
43,신코 윈디,4,0.85,4,0.85,3,0.72,4,0.88,4,0.88,2,0.62,2,0.62,1,0.72,0,0.62,4,0.9,2,0.62,1,0.62,2,0.62,3,0.62,1,0.85,0.7327,0,,https://umamusume.jp/character/shinkowindy,https://namu.wiki/w/신코 윈디(우마무스메 프리티 더비)
44,스윕 토쇼,3,0.72,3,0.72,3,0.85,4,0.88,4,0.85,2,0.62,2,0.62,1,0.72,0,0.62,4,0.9,0,0.9,1,0.62,1,0.62,2,0.62,1,0.85,0.7407,0,,https://umamusume.jp/character/sweeptosho,https://namu.wiki/w/스윕 토쇼(우마무스메 프리티 더비)
45,슈퍼 크릭,4,0.85,4,0.85,3,0.85,2,0.52,3,0.72,2,0.62,2,0.62,2,0.72,1,0.62,3,0.62,4,0.9,1,0.62,2,0.62,1,0.85,3,0.8,0.7187,1,기행성,https://umamusume.jp/character/supercreek,https://namu.wiki/w/슈퍼 크릭(우마무스메 프리티 더비)
46,스마트 팔콘,4,0.85,4,0.85,3,0.85,3,0.72,4,0.85,3,0.78,2,0.62,2,0.52,0,0.62,2,0.88,3,0.88,2,0.88,3,0.88,2,0.62,3,0.62,0.7613,1,역경성,https://umamusume.jp/character/smartfalcon,https://namu.wiki/w/스마트 팔콘(우마무스메 프리티 더비)
47,젠노 롭 로이,2,0.52,1,0.88,1,0.72,2,0.52,1,0.72,2,0.62,2,0.62,2,0.52,3,0.62,1,0.62,2,0.62,2,0.62,3,0.62,2,0.62,2,0.62,0.6307,3,"명랑도, 기행성, 역경성",https://umamusume.jp/character/zennorobroy,https://namu.wiki/w/젠노 롭 로이(우마무스메 프리티 더비)
48,토센 조던,4,0.85,4,0.85,3,0.72,3,0.72,4,0.88,2,0.62,2,0.62,3,0.72,0,0.62,3,0.8,2,0.62,1,0.62,1,0.62,2,0.62,2,0.62,0.7,0,,https://umamusume.jp/character/tosenjordan,https://namu.wiki/w/토센 조던(우마무스메 프리티 더비)
49,나카야마 페스타,2,0.52,3,0.72,3,0.85,4,0.85,3,0.72,2,0.62,2,0.62,3,0.72,1,0.62,3,0.62,1,0.62,4,0.9,2,0.62,3,0.62,2,0.62,0.6827,1,명랑도,https://umamusume.jp/character/nakayamafesta,https://namu.wiki/w/나카야마 페스타(우마무스메 프리티 더비)
50,나리타 타이신,0,0.88,0,0.88,2,0.52,1,0.72,0,0.85,3,0.78,2,0.62,4,0.88,3,0.62,1,0.62,2,0.62,4,0.9,3,0.62,4,0.9,3,0.62,0.7353,1,자기확신,https://umamusume.jp/character/naritataishin,https://namu.wiki/w/나리타 타이신(우마무스메 프리티 더비)
51,니시노 플라워,4,0.85,2,0.52,1,0.72,1,0.88,1,0.72,3,0.78,2,0.62,2,0.52,3,0.62,1,0.62,4,0.9,2,0.62,3,0.62,2,0.62,3,0.8,0.694,2,"외향성, 역경성",https://umamusume.jp/character/nishinoflower,https://namu.wiki/w/니시노 플라워(우마무스메 프리티 더비)
52,하루 우라라,4,0.88,4,0.85,3,0.85,2,0.52,4,0.85,2,0.62,1,0.85,4,0.85,1,0.85,4,0.62,2,0.62,1,0.62,0,0.9,1,0.85,1,0.62,0.7567,1,기행성,https://umamusume.jp/character/haruurara,https://namu.wiki/w/하루 우라라(우마무스메 프리티 더비)
53,뱀부 메모리,4,0.85,4,0.85,3,0.85,2,0.52,3,0.72,3,0.78,2,0.62,2,0.52,1,0.62,3,0.88,3,0.88,1,0.62,3,0.88,4,0.88,4,0.9,0.758,2,"기행성, 역경성",https://umamusume.jp/character/bamboomemory,https://namu.wiki/w/뱀부 메모리(우마무스메 프리티 더비)
54,비코 페가수스,4,0.88,4,0.85,3,0.85,4,0.85,4,0.85,2,0.62,2,0.62,1,0.72,0,0.62,4,0.62,2,0.62,1,0.62,2,0.62,2,0.62,2,0.62,0.7053,0,,https://umamusume.jp/character/bikopegasus,https://namu.wiki/w/비코 페가수스(우마무스메 프리티 더비)
55,마블러스 선데이,4,0.88,4,0.88,3,0.85,4,0.88,4,0.85,2,0.62,2,0.62,1,0.72,0,0.88,3,0.88,2,0.88,2,0.88,0,0.88,2,0.62,1,0.62,0.796,0,,https://umamusume.jp/character/marveloussunday,https://namu.wiki/w/마블러스 선데이(우마무스메 프리티 더비)
56,마치카네 후쿠키타루,4,0.88,4,0.85,2,0.72,4,0.88,4,0.85,2,0.62,2,0.62,2,0.52,0,0.88,3,0.88,3,0.88,1,0.88,1,0.88,2,0.62,3,0.62,0.772,1,역경성,https://umamusume.jp/character/matikanefukukitaru,https://namu.wiki/w/마치카네 후쿠키타루(우마무스메 프리티 더비)
57,미스터 시비,3,0.72,3,0.72,3,0.85,4,0.85,3,0.72,2,0.62,3,0.78,1,0.72,1,0.62,3,0.62,2,0.62,4,0.9,2,0.62,2,0.62,2,0.62,0.7067,0,,https://umamusume.jp/character/mrcb,https://namu.wiki/w/미스터 시비(우마무스메 프리티 더비)
58,메이쇼 도토,2,0.52,1,0.72,0,0.88,2,0.52,2,0.52,4,0.88,1,0.85,4,0.88,1,0.85,3,0.62,2,0.62,0,0.9,2,0.62,3,0.62,2,0.62,0.708,3,"명랑도, 기행성, 장난기",https://umamusume.jp/character/meishodoto,https://namu.wiki/w/메이쇼 도토(우마무스메 프리티 더비)
59,메지로 도베르,1,0.88,0,0.88,1,0.88,1,0.72,0,0.85,2,0.62,2,0.62,3,0.72,3,0.62,0,0.62,2,0.62,3,0.8,3,0.8,3,0.62,3,0.62,0.7247,0,,https://umamusume.jp/character/mejirodober,https://namu.wiki/w/메지로 도베르(우마무스메 프리티 더비)
60,나이스 네이처,3,0.72,3,0.72,1,0.88,2,0.52,3,0.72,3,0.78,2,0.62,3,0.72,3,0.8,3,0.62,2,0.62,1,0.62,2,0.62,2,0.62,2,0.62,0.68,1,기행성,https://umamusume.jp/character/nicenature,https://namu.wiki/w/나이스 네이처(우마무스메 프리티 더비)
61,킹 헤일로,3,0.72,4,0.85,3,0.85,3,0.72,3,0.72,4,0.88,2,0.62,4,0.88,0,0.62,4,0.62,3,0.8,1,0.62,2,0.62,4,0.9,3,0.8,0.748,0,,https://umamusume.jp/character/kinghalo,https://namu.wiki/w/킹 헤일로(우마무스메 프리티 더비)
62,마치카네 탄호이저,4,0.85,3,0.72,2,0.52,3,0.72,3,0.72,2,0.62,2,0.62,3,0.72,0,0.62,4,0.62,3,0.8,1,0.62,2,0.62,3,0.62,2,0.62,0.6673,1,자기확신,https://umamusume.jp/character/matikanetannhauser,https://namu.wiki/w/마치카네 탄호이저(우마무스메 프리티 더비)
63,이쿠노 딕터스,2,0.52,1,0.88,3,0.85,1,0.88,0,0.88,3,0.78,2,0.62,3,0.72,4,0.9,0,0.9,2,0.62,3,0.62,4,0.9,3,0.62,4,0.9,0.7727,1,명랑도,https://umamusume.jp/character/ikunodictus,https://namu.wiki/w/이쿠노 딕터스(우마무스메 프리티 더비)
64,메지로 파머,4,0.85,4,0.85,0,0.72,3,0.72,4,0.85,3,0.62,2,0.62,3,0.72,0,0.62,4,0.62,2,0.62,2,0.62,2,0.62,3,0.62,2,0.62,0.686,0,,https://umamusume.jp/character/mejiropalmer,https://namu.wiki/w/메지로 파머(우마무스메 프리티 더비)
65,다이타쿠 헬리오스,4,0.88,4,0.88,3,0.85,4,0.85,4,0.88,2,0.62,2,0.62,1,0.72,0,0.62,3,0.8,2,0.62,1,0.62,1,0.85,2,0.62,2,0.62,0.7367,0,,https://umamusume.jp/character/daitakuhelios,https://namu.wiki/w/다이타쿠 헬리오스(우마무스메 프리티 더비)
66,트윈 터보,4,0.88,4,0.88,3,0.85,4,0.85,4,0.88,2,0.62,2,0.62,2,0.52,0,0.9,4,0.9,2,0.62,1,0.62,1,0.85,2,0.62,1,0.85,0.764,1,역경성,https://umamusume.jp/character/twinturbo,https://namu.wiki/w/트윈 터보(우마무스메 프리티 더비)
67,사토노 다이아몬드,4,0.85,3,0.72,3,0.85,2,0.52,2,0.52,3,0.78,3,0.78,2,0.52,2,0.62,2,0.62,4,0.9,2,0.62,3,0.8,3,0.62,3,0.8,0.7013,3,"기행성, 장난기, 역경성",https://umamusume.jp/character/satonodiamond,https://namu.wiki/w/사토노 다이아몬드(우마무스메 프리티 더비)
68,키타산 블랙,4,0.85,4,0.85,3,0.85,2,0.52,4,0.85,3,0.78,3,0.78,2,0.52,1,0.88,4,0.62,4,0.88,2,0.88,2,0.88,2,0.62,4,0.9,0.7773,2,"기행성, 역경성",https://umamusume.jp/character/kitasanblack,https://namu.wiki/w/키타산 블랙(우마무스메 프리티 더비)
69,사쿠라 치요노 오,4,0.85,3,0.72,3,0.72,1,0.72,2,0.52,3,0.78,2,0.62,3,0.72,2,0.62,2,0.62,3,0.62,2,0.62,2,0.62,3,0.62,2,0.62,0.666,1,장난기,https://umamusume.jp/character/sakurachiyonoo,https://namu.wiki/w/사쿠라 치요노 오(우마무스메 프리티 더비)
70,시리우스 심볼리,3,0.72,4,0.85,4,0.88,3,0.72,3,0.72,2,0.62,2,0.62,1,0.72,0,0.62,4,0.62,1,0.85,4,0.9,2,0.62,4,0.9,1,0.62,0.732,0,,https://umamusume.jp/character/siriussymboli,https://namu.wiki/w/시리우스 심볼리(우마무스메 프리티 더비)
71,메지로 아르당,3,0.72,2,0.52,3,0.72,1,0.72,1,0.72,3,0.78,3,0.78,4,0.85,3,0.62,1,0.62,2,0.62,2,0.62,3,0.62,3,0.62,3,0.62,0.6767,1,외향성,https://umamusume.jp/character/mejiroardan,https://namu.wiki/w/메지로 아르당(우마무스메 프리티 더비)
72,야에노 무테키,3,0.72,2,0.52,3,0.85,1,0.72,1,0.72,3,0.78,2,0.62,3,0.52,3,0.88,2,0.88,3,0.88,3,0.88,4,0.88,3,0.88,3,0.62,0.7567,2,"외향성, 역경성",https://umamusume.jp/character/yaenomuteki,https://namu.wiki/w/야에노 무테키(우마무스메 프리티 더비)
73,츠루마루 츠요시,4,0.85,4,0.85,3,0.72,2,0.52,3,0.72,3,0.78,2,0.62,4,0.85,1,0.62,3,0.62,2,0.62,1,0.62,2,0.62,3,0.62,2,0.62,0.6833,1,기행성,https://umamusume.jp/character/tsurumarutsuyoshi,https://namu.wiki/w/츠루마루 츠요시(우마무스메 프리티 더비)
74,메지로 브라이트,4,0.85,2,0.52,3,0.85,3,0.72,2,0.52,2,0.62,2,0.62,2,0.52,1,0.62,3,0.62,3,0.8,2,0.62,2,0.62,3,0.62,2,0.62,0.6493,3,"외향성, 장난기, 역경성",https://umamusume.jp/character/mejirobright,https://namu.wiki/w/메지로 브라이트(우마무스메 프리티 더비)
75,데어링 택트,4,0.85,3,0.72,3,0.85,1,0.72,1,0.72,2,0.62,3,0.78,2,0.52,2,0.62,2,0.62,3,0.62,2,0.62,3,0.62,3,0.62,2,0.62,0.6747,1,역경성,https://umamusume.jp/character/daringtact,https://namu.wiki/w/데어링 택트(우마무스메 프리티 더비)
76,사쿠라 로렐,4,0.85,3,0.72,3,0.85,1,0.72,2,0.52,4,0.88,2,0.62,4,0.85,2,0.62,2,0.62,3,0.62,2,0.62,3,0.62,3,0.62,3,0.62,0.69,1,장난기,https://umamusume.jp/character/sakuralaurel,https://namu.wiki/w/사쿠라 로렐(우마무스메 프리티 더비)
77,나리타 탑 로드,4,0.85,4,0.85,3,0.72,1,0.72,2,0.52,4,0.88,2,0.62,3,0.72,1,0.62,3,0.62,4,0.9,1,0.62,3,0.62,3,0.62,4,0.9,0.7187,1,장난기,https://umamusume.jp/character/naritatoproad,https://namu.wiki/w/나리타 탑 로드(우마무스메 프리티 더비)
78,야마닌 제퍼,3,0.72,2,0.52,3,0.72,3,0.72,1,0.72,2,0.62,2,0.62,1,0.72,2,0.62,2,0.62,2,0.62,2,0.62,3,0.62,3,0.62,2,0.62,0.6467,1,외향성,https://umamusume.jp/character/yamaninzephyr,https://namu.wiki/w/야마닌 제퍼(우마무스메 프리티 더비)
79,푸리오소,2,0.52,1,0.72,3,0.85,1,0.72,0,0.85,3,0.78,2,0.62,2,0.52,3,0.88,1,0.88,3,0.88,3,0.88,3,0.88,4,0.88,3,0.8,0.7773,2,"명랑도, 역경성",https://umamusume.jp/character/furioso,https://namu.wiki/w/푸리오소(우마무스메 프리티 더비)
80,트랜센드,4,0.85,4,0.85,3,0.85,3,0.72,3,0.85,2,0.62,2,0.62,1,0.72,3,0.88,2,0.88,3,0.88,3,0.88,1,0.88,2,0.62,2,0.62,0.7813,0,,https://umamusume.jp/character/transcend,https://namu.wiki/w/트랜센드(우마무스메 프리티 더비)
81,에스푸아르 시티,3,0.72,4,0.85,3,0.72,2,0.52,3,0.72,2,0.62,2,0.62,2,0.52,1,0.62,3,0.62,2,0.62,1,0.62,2,0.62,3,0.62,2,0.62,0.642,2,"기행성, 역경성",https://umamusume.jp/character/espoircity,https://namu.wiki/w/에스푸아르 시티(우마무스메 프리티 더비)
